id,ürün,tahmin fiyat,ürün fiyatı,1_fiyat,2_fiyat,3_fiyat
0,kıyma,123.4278,132.42,126.86,121.09,115.46
1,tavuk,43.109196,43.24,41.63,39.65,37.5
2,hindi,50.968052,51.01,49.54,46.71,44.49
3,Bakla-kuru,31.284332,31.08,29.59,27.84,26.81
4,Bakla-taze,51.866676,52.12,50.09,47.73,45.45
5,Bamya,21.643703,21.47,20.73,19.61,18.76
6,Barbunya-kuru,24.023563,23.94,23.41,22.62,21.47
7,Bezelye-taze,50.235695,50.31,48.09,45.39,42.74
8,Biber-yeşil,53.06951,53.11,51.69,48.41,45.91
9,Brüksel laha.,102.21088,104.3,99.07,94.28,89.29
10,Domates,15.708012,15.66,15.03,14.1,13.34
11,Enginar,50.78984,50.82,48.07,45.98,43.69
12,Fasulye-kuru,41.324398,41.38,39.73,37.51,35.49
13,Fasulye-taze,39.82704,39.76,37.65,36.03,34.55
14,Havuç,38.05893,37.83,36.95,35.08,33.48
15,Salatalık,15.543276,15.54,15.08,14.42,13.82
16,Ispanak,48.716583,48.14,46.04,43.56,41.65
17,Kabak,31.048111,31.05,29.39,28.19,26.82
18,Karnabahar,38.200928,38.31,36.6,34.79,32.58
19,Kereviz-baş,26.914986,27.01,26.29,25.22,23.93
20,Kırmızı-pancar,24.047148,23.97,22.86,21.89,20.99
21,Lahana,29.408407,29.42,28.1,26.01,24.96
22,Mantar,65.49415,65.47,62.55,59.47,56.61
23,Marul,23.859924,23.76,23.21,21.88,20.71
24,Mercimek-kuru,21.761436,21.82,20.42,19.94,19.18
25,Nohut,19.883747,19.9,18.95,18.07,16.89
26,Pancar,29.869034,29.59,28.96,26.97,25.73
27,Patates,12.562408,12.59,12.14,11.59,11.07
28,Patlıcan,32.777428,32.83,31.55,29.82,28.29
29,Pazı,8.833937,8.87,8.54,8.15,7.69
30,Pırasa,13.554572,13.59,12.97,12.19,11.54
31,Semizotu,10.35438,10.42,9.88,9.4,8.93
32,Buğday ekmeği,3.1392071,3.14,3.04,2.92,2.77
33,Bulgur,6.277904,6.28,6.01,5.83,5.64
34,Erişte,13.570477,13.54,13.02,12.59,12.04
35,Makarna,6.0472946,6.1,5.8,5.51,5.33
36,Mısır,9.257052,9.24,8.93,8.32,7.88
37,Mısır unu,48.594006,48.49,46.68,44.52,42.97
38,Nişasta,22.800802,22.9,21.9,20.95,19.97
39,Pilav,16.884476,16.82,16.21,15.35,14.8
40,Pirinç unu,30.854137,30.96,29.93,28.4,26.69
41,Şehriye,29.247309,29.17,27.97,26.46,25.51
42,Tarhana,14.14744,14.05,13.66,12.95,12.25
43,Yulaf unu,50.013718,50.42,48.54,46.0,44.79
44,yumurta,32.330097,32.31,31.54,29.72,27.94
45,beyaz peynir,74.70387,75.62,72.71,68.41,64.07
46,Kaşar peyniri,71.193245,69.19,67.13,62.83,60.4
47,krema,34.260582,34.31,32.84,31.63,29.9
48,yoğurt,48.52271,47.76,46.04,43.58,41.14
49,sucuk,61.154804,60.97,58.1,54.95,52.71
50,salam,43.16285,42.94,42.18,39.95,38.52
51,sosis,52.178753,52.22,49.57,46.92,44.28
52,tam buğday ekmek,19.061312,19.1,18.29,17.18,16.26
53,kaymak,60.396076,60.18,57.34,54.7,51.57
54,bal,100.224236,101.98,96.0,91.17,86.03
55,tereyağ,65.53331,65.22,62.97,59.54,56.72
56,Armut,16.743877,16.76,16.0,15.08,14.36
57,Çilek,22.227016,22.3,21.24,20.17,19.28
58,Elma,26.885372,26.87,25.6,24.2,22.86
59,Erik türleri,32.5637,32.47,30.97,29.67,28.27
60,İncir,15.713345,15.59,15.1,14.44,13.84
61,Karadut,24.376534,24.4,23.56,22.4,21.49
62,Karpuz,25.279638,25.41,24.34,23.16,21.63
63,Kavun,29.461277,29.29,27.83,26.09,25.18
64,Kayısı,17.720476,17.58,17.06,16.06,15.39
65,Kiraz,21.61124,21.45,20.85,19.63,18.56
66,Limon,13.095017,13.07,12.51,11.82,11.43
67,Mandalina,12.55968,12.59,12.05,11.32,10.89
68,Muz,39.48164,39.12,37.6,34.9,33.01
69,Nar,34.620583,34.65,33.38,31.72,30.09
70,Portakal,19.565205,19.61,18.53,17.49,16.53
71,Şeftali,19.552979,19.54,18.7,17.63,16.79
72,Üzüm,22.401972,22.32,21.32,20.01,18.74
73,Vişne,15.499494,15.43,14.92,14.03,13.38
74,fındık,62.33777,62.71,59.59,56.6,53.55
75,fıstık,72.00258,71.56,67.3,63.82,60.43
76,kaju,70.584656,71.61,67.94,64.52,61.18
77,badem,70.96381,70.34,67.01,63.38,60.73
78,ceviz,80.18531,76.92,73.84,69.12,66.29
79,kıyma,122.893974,141.54,135.84,129.42,124.33
80,tavuk,45.397152,45.05,43.83,41.68,39.45
81,hindi,51.422688,51.35,49.98,47.49,45.24
82,Bakla-kuru,28.595743,28.65,27.09,25.67,24.42
83,Bakla-taze,50.416763,50.59,48.01,46.24,44.4
84,Bamya,20.190407,20.17,19.28,18.34,17.37
85,Barbunya-kuru,25.59049,25.61,24.17,22.98,21.75
86,Bezelye-taze,47.13021,46.77,45.32,42.64,40.08
87,Biber-yeşil,45.91615,45.9,43.4,41.06,39.85
88,Brüksel laha.,100.59627,105.41,99.52,95.42,91.15
89,Domates,15.451358,15.51,14.66,13.63,13.05
90,Enginar,47.030674,46.89,45.06,42.78,40.42
91,Fasulye-kuru,41.272926,41.12,38.87,36.69,34.83
92,Fasulye-taze,40.739788,40.51,38.88,36.97,35.11
93,Havuç,32.743732,32.86,31.98,30.89,29.63
94,Salatalık,14.819188,14.79,14.1,13.42,12.8
95,Ispanak,54.08134,53.53,52.36,50.12,47.44
96,Kabak,28.64008,28.47,27.27,25.5,24.54
97,Karnabahar,31.439703,31.26,30.07,28.26,26.61
98,Kereviz-baş,26.98583,26.75,26.04,24.66,23.35
99,Kırmızı-pancar,22.778341,22.8,21.79,20.92,19.85
