id,ürün,tahmin fiyat,ürün fiyatı,1_fiyat,2_fiyat,3_fiyat
0,kıyma,123.4278,132.42,126.86,121.09,115.46
1,tavuk,43.109196,43.24,41.63,39.65,37.5
2,hindi,50.968052,51.01,49.54,46.71,44.49
3,Bakla-kuru,31.284332,31.08,29.59,27.84,26.81
4,Bakla-taze,51.866676,52.12,50.09,47.73,45.45
5,Bamya,21.643703,21.47,20.73,19.61,18.76
6,Barbunya-kuru,24.023563,23.94,23.41,22.62,21.47
7,Bezelye-taze,50.235695,50.31,48.09,45.39,42.74
8,Biber-yeşil,53.06951,53.11,51.69,48.41,45.91
9,Brüksel laha.,102.21088,104.3,99.07,94.28,89.29
10,Domates,15.708012,15.66,15.03,14.1,13.34
11,Enginar,50.78984,50.82,48.07,45.98,43.69
12,Fasulye-kuru,41.324398,41.38,39.73,37.51,35.49
13,Fasulye-taze,39.82704,39.76,37.65,36.03,34.55
14,Havuç,38.05893,37.83,36.95,35.08,33.48
15,Salatalık,15.543276,15.54,15.08,14.42,13.82
16,Ispanak,48.716583,48.14,46.04,43.56,41.65
17,Kabak,31.048111,31.05,29.39,28.19,26.82
18,Karnabahar,38.200928,38.31,36.6,34.79,32.58
19,Kereviz-baş,26.914986,27.01,26.29,25.22,23.93
20,Kırmızı-pancar,24.047148,23.97,22.86,21.89,20.99
21,Lahana,29.408407,29.42,28.1,26.01,24.96
22,Mantar,65.49415,65.47,62.55,59.47,56.61
23,Marul,23.859924,23.76,23.21,21.88,20.71
24,Mercimek-kuru,21.761436,21.82,20.42,19.94,19.18
25,Nohut,19.883747,19.9,18.95,18.07,16.89
26,Pancar,29.869034,29.59,28.96,26.97,25.73
27,Patates,12.562408,12.59,12.14,11.59,11.07
28,Patlıcan,32.777428,32.83,31.55,29.82,28.29
29,Pazı,8.833937,8.87,8.54,8.15,7.69
30,Pırasa,13.554572,13.59,12.97,12.19,11.54
31,Semizotu,10.35438,10.42,9.88,9.4,8.93
32,Buğday ekmeği,3.1392071,3.14,3.04,2.92,2.77
33,Bulgur,6.277904,6.28,6.01,5.83,5.64
34,Erişte,13.570477,13.54,13.02,12.59,12.04
35,Makarna,6.0472946,6.1,5.8,5.51,5.33
36,Mısır,9.257052,9.24,8.93,8.32,7.88
37,Mısır unu,48.594006,48.49,46.68,44.52,42.97
38,Nişasta,22.800802,22.9,21.9,20.95,19.97
39,Pilav,16.884476,16.82,16.21,15.35,14.8
40,Pirinç unu,30.854137,30.96,29.93,28.4,26.69
41,Şehriye,29.247309,29.17,27.97,26.46,25.51
42,Tarhana,14.14744,14.05,13.66,12.95,12.25
43,Yulaf unu,50.013718,50.42,48.54,46.0,44.79
44,yumurta,32.330097,32.31,31.54,29.72,27.94
45,beyaz peynir,74.70387,75.62,72.71,68.41,64.07
46,Kaşar peyniri,71.193245,69.19,67.13,62.83,60.4
47,krema,34.260582,34.31,32.84,31.63,29.9
48,yoğurt,48.52271,47.76,46.04,43.58,41.14
49,sucuk,61.154804,60.97,58.1,54.95,52.71
50,salam,43.16285,42.94,42.18,39.95,38.52
51,sosis,52.178753,52.22,49.57,46.92,44.28
52,tam buğday ekmek,19.061312,19.1,18.29,17.18,16.26
53,kaymak,60.396076,60.18,57.34,54.7,51.57
54,bal,100.224236,101.98,96.0,91.17,86.03
55,tereyağ,65.53331,65.22,62.97,59.54,56.72
56,Armut,16.743877,16.76,16.0,15.08,14.36
57,Çilek,22.227016,22.3,21.24,20.17,19.28
58,Elma,26.885372,26.87,25.6,24.2,22.86
59,Erik türleri,32.5637,32.47,30.97,29.67,28.27
60,İncir,15.713345,15.59,15.1,14.44,13.84
61,Karadut,24.376534,24.4,23.56,22.4,21.49
62,Karpuz,25.279638,25.41,24.34,23.16,21.63
63,Kavun,29.461277,29.29,27.83,26.09,25.18
64,Kayısı,17.720476,17.58,17.06,16.06,15.39
65,Kiraz,21.61124,21.45,20.85,19.63,18.56
66,Limon,13.095017,13.07,12.51,11.82,11.43
67,Mandalina,12.55968,12.59,12.05,11.32,10.89
68,Muz,39.48164,39.12,37.6,34.9,33.01
69,Nar,34.620583,34.65,33.38,31.72,30.09
70,Portakal,19.565205,19.61,18.53,17.49,16.53
71,Şeftali,19.552979,19.54,18.7,17.63,16.79
72,Üzüm,22.401972,22.32,21.32,20.01,18.74
73,Vişne,15.499494,15.43,14.92,14.03,13.38
74,fındık,62.33777,62.71,59.59,56.6,53.55
75,fıstık,72.00258,71.56,67.3,63.82,60.43
76,kaju,70.584656,71.61,67.94,64.52,61.18
77,badem,70.96381,70.34,67.01,63.38,60.73
78,ceviz,80.18531,76.92,73.84,69.12,66.29
79,kıyma,122.893974,141.54,135.84,129.42,124.33
80,tavuk,45.397152,45.05,43.83,41.68,39.45
81,hindi,51.422688,51.35,49.98,47.49,45.24
82,Bakla-kuru,28.595743,28.65,27.09,25.67,24.42
83,Bakla-taze,50.416763,50.59,48.01,46.24,44.4
84,Bamya,20.190407,20.17,19.28,18.34,17.37
85,Barbunya-kuru,25.59049,25.61,24.17,22.98,21.75
86,Bezelye-taze,47.13021,46.77,45.32,42.64,40.08
87,Biber-yeşil,45.91615,45.9,43.4,41.06,39.85
88,Brüksel laha.,100.59627,105.41,99.52,95.42,91.15
89,Domates,15.451358,15.51,14.66,13.63,13.05
90,Enginar,47.030674,46.89,45.06,42.78,40.42
91,Fasulye-kuru,41.272926,41.12,38.87,36.69,34.83
92,Fasulye-taze,40.739788,40.51,38.88,36.97,35.11
93,Havuç,32.743732,32.86,31.98,30.89,29.63
94,Salatalık,14.819188,14.79,14.1,13.42,12.8
95,Ispanak,54.08134,53.53,52.36,50.12,47.44
96,Kabak,28.64008,28.47,27.27,25.5,24.54
97,Karnabahar,31.439703,31.26,30.07,28.26,26.61
98,Kereviz-baş,26.98583,26.75,26.04,24.66,23.35
99,Kırmızı-pancar,22.778341,22.8,21.79,20.92,19.85
100,Lahana,30.203661,30.27,29.07,27.69,26.59
101,Mantar,53.88746,53.94,51.01,48.53,46.14
102,Marul,24.897493,24.88,24.0,22.8,21.71
103,Mercimek-kuru,19.89571,19.92,18.81,18.1,17.33
104,Nohut,21.211521,21.12,20.16,19.12,18.13
105,Pancar,27.549215,27.52,26.05,24.95,23.83
106,Patates,13.387525,13.44,12.79,12.1,11.62
107,Patlıcan,35.628036,35.47,34.42,32.38,31.07
108,Pazı,7.5590835,7.54,7.26,6.84,6.52
109,Pırasa,14.353036,14.29,13.76,13.05,12.44
110,Semizotu,9.31617,9.34,9.03,8.65,8.27
111,Buğday ekmeği,2.9118443,2.89,2.81,2.68,2.59
112,Bulgur,6.824217,6.86,6.55,6.29,5.98
113,Erişte,12.995597,13.06,12.58,11.99,11.27
114,Makarna,5.269927,5.29,5.08,4.92,4.66
115,Mısır,8.293114,8.33,7.95,7.69,7.45
116,Mısır unu,53.762688,53.8,51.57,48.99,46.52
117,Nişasta,21.206818,21.14,20.44,19.35,18.31
118,Pilav,18.252226,18.23,17.28,16.27,15.34
119,Pirinç unu,26.003942,26.11,25.1,23.87,22.75
120,Şehriye,30.567343,30.47,29.5,27.82,26.3
121,Tarhana,16.099142,16.05,15.41,14.59,14.15
122,Yulaf unu,52.457546,52.37,50.76,48.84,46.54
123,yumurta,30.290306,30.08,29.24,28.24,26.99
124,beyaz peynir,60.890514,61.2,58.06,54.86,52.11
125,Kaşar peyniri,61.781773,62.29,59.74,57.3,54.0
126,krema,30.847227,30.75,29.63,28.66,27.41
127,yoğurt,47.168293,47.14,44.97,43.04,41.29
128,sucuk,66.10911,66.27,64.1,60.33,56.59
129,salam,49.396492,48.98,47.26,45.31,43.47
130,sosis,55.33527,55.42,53.18,49.96,47.92
131,tam buğday ekmek,17.151974,17.19,16.19,15.26,14.48
132,kaymak,70.37408,69.87,66.68,63.85,60.28
133,bal,98.275444,98.28,95.48,90.63,85.69
134,tereyağ,90.1305,87.75,83.99,79.62,76.38
135,Armut,16.143421,16.13,15.32,14.46,13.72
136,Çilek,19.314903,19.31,18.58,17.77,16.68
137,Elma,25.89069,25.98,24.8,23.4,22.23
138,Erik türleri,31.744051,31.75,30.65,29.02,27.48
139,İncir,16.23233,16.24,15.4,14.63,13.95
140,Karadut,17.201742,17.18,16.73,16.0,15.21
141,Karpuz,30.542166,30.65,29.09,27.11,25.66
142,Kavun,31.521784,31.29,30.08,28.14,26.91
143,Kayısı,17.756958,17.77,16.94,16.23,15.22
144,Kiraz,21.232807,21.36,20.3,19.31,18.23
145,Limon,13.572208,13.5,13.03,12.41,11.89
146,Mandalina,12.696137,12.7,12.07,11.51,11.07
147,Muz,33.98125,34.22,32.4,31.32,30.03
148,Nar,33.577465,33.44,32.18,30.48,28.84
149,Portakal,15.709707,15.67,15.03,14.18,13.4
150,Şeftali,19.403864,19.44,18.55,17.69,16.91
151,Üzüm,22.00734,21.94,20.93,19.79,18.98
152,Vişne,18.479322,18.45,17.66,16.76,15.94
153,fındık,60.540066,60.3,57.43,54.3,52.53
154,fıstık,64.69898,64.51,61.08,58.03,53.77
155,kaju,61.865063,61.34,58.68,55.39,53.13
156,badem,64.614525,65.01,62.08,59.67,55.91
157,ceviz,74.120224,75.44,71.86,68.46,64.37
158,kıyma,142.53058,146.22,139.56,134.29,126.3
159,tavuk,50.96509,50.65,47.64,44.72,42.39
160,hindi,47.145645,47.1,45.67,42.97,41.33
161,Bakla-kuru,26.974998,27.2,25.32,23.63,22.6
162,Bakla-taze,54.27363,53.97,51.43,48.54,46.34
163,Bamya,20.51071,20.46,19.35,18.11,17.33
164,Barbunya-kuru,24.93683,24.94,23.77,22.8,21.74
165,Bezelye-taze,49.030167,48.56,46.41,43.24,41.29
166,Biber-yeşil,45.547134,45.68,43.41,41.21,39.32
167,Brüksel laha.,104.095924,109.07,105.02,99.46,93.24
168,Domates,16.30582,16.3,15.65,14.97,14.48
169,Enginar,46.13382,46.16,44.23,42.33,39.83
170,Fasulye-kuru,35.725258,35.5,34.06,32.72,31.03
171,Fasulye-taze,46.08563,46.01,44.37,41.74,39.74
172,Havuç,32.9708,33.24,31.55,30.41,29.12
173,Salatalık,16.585682,16.51,15.94,15.14,14.37
174,Ispanak,51.84938,51.78,49.68,47.16,45.08
175,Kabak,36.154537,36.29,34.39,32.82,30.85
176,Karnabahar,32.41242,32.34,30.4,28.7,27.06
177,Kereviz-baş,21.066904,21.03,20.11,19.06,18.48
178,Kırmızı-pancar,27.349596,27.25,26.12,25.03,24.15
179,Lahana,31.20748,31.45,29.52,28.02,26.35
180,Mantar,61.443024,61.97,59.53,56.87,53.37
181,Marul,27.909359,27.92,26.82,25.7,24.25
182,Mercimek-kuru,19.210648,19.18,18.18,17.36,16.25
183,Nohut,17.493505,17.46,16.96,16.15,15.08
184,Pancar,29.1757,29.16,27.64,26.51,25.28
185,Patates,13.095126,13.09,12.52,11.85,11.39
186,Patlıcan,33.578396,33.48,32.26,30.44,29.03
187,Pazı,8.320174,8.38,8.01,7.76,7.37
188,Pırasa,13.00204,13.02,12.65,12.11,11.58
189,Semizotu,8.604343,8.58,8.36,8.07,7.69
